                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.56132,                0.82303,                0.71091,                0.99116,                0.83093,                0.52137,                0.64217,                0.46773,                0.57629,                0.37358,                0.44768,                0.30025,                 1.2644,                 2.9546,                 1.8113,                 1.3681,              0.0073031,              0.0073031,              0.0073031
                     81,                0.57814,                0.80032,                 0.7161,                0.97742,                0.78771,                 0.5097,                0.63252,                0.48319,                0.51889,                0.40254,                 0.4349,                0.30069,                 1.2848,                 3.0273,                 1.8665,                 1.3961,               0.007269,               0.007269,               0.007269
                     82,                0.52813,                0.81918,                0.68868,                0.99276,                0.66725,                0.59783,                0.64008,                0.48233,                 0.5854,                0.44592,                 0.4516,                0.29717,                 1.3134,                 3.1139,                 1.8865,                 1.3973,              0.0072348,              0.0072348,              0.0072348
                     83,                0.53596,                0.83793,                0.69945,                 0.9747,                0.61452,                0.57455,                0.61371,                0.46993,                0.52699,                0.41769,                0.43335,                0.29184,                  1.351,                 3.0961,                 1.9147,                 1.4087,              0.0072007,              0.0072007,              0.0072007
                     84,                0.52954,                0.76051,                0.68562,                 0.9718,                 0.6873,                0.59637,                0.63043,                0.46274,                0.60941,                0.44151,                0.45106,                0.29863,                  1.342,                 3.1332,                 1.9547,                  1.405,              0.0071666,              0.0071666,              0.0071666
                     85,                0.53576,                 0.7805,                0.68957,                0.96396,                0.61996,                0.55443,                0.61968,                0.46972,                0.49952,                0.39307,                0.42051,                0.27431,                 1.3598,                 3.1088,                 1.9441,                 1.4227,              0.0071324,              0.0071324,              0.0071324
                     86,                 0.5216,                0.74165,                0.65559,                0.96701,                0.69722,                0.55193,                0.64011,                0.46503,                0.61013,                0.38972,                0.44059,                0.28302,                 1.3633,                 3.1959,                 1.9017,                 1.4251,              0.0070983,              0.0070983,              0.0070983
                     87,                0.50132,                 0.7614,                0.67635,                0.96099,                0.65098,                0.60029,                0.64499,                0.46474,                0.56234,                0.41555,                0.44524,                0.28811,                 1.3679,                 3.0672,                 1.9511,                 1.4248,              0.0070641,              0.0070641,              0.0070641
                     88,                0.52812,                0.78445,                  0.695,                0.97907,                0.70305,                0.61165,                0.65149,                0.47335,                0.56836,                 0.4299,                0.45302,                0.28452,                 1.3613,                 3.2754,                 1.8467,                 1.4183,                0.00703,                0.00703,                0.00703
                     89,                0.50517,                0.70985,                0.65326,                0.97111,                0.63842,                0.55827,                0.63075,                0.46836,                0.49439,                  0.409,                0.42254,                0.28223,                 1.3457,                 3.0532,                 1.9269,                 1.4229,              0.0069959,              0.0069959,              0.0069959
